partName    state slash   impact   pierce   fire   water   thunder   ice   dragon stun
Head		45	45	45	25	40	25	25	5	100
Head	Wounds	70	70	62	25	40	25	25	30	100
Neck		25	35	30	15	25	15	15	5	100
Neck	Wounds	60	60	60	15	25	15	15	30	0
Back		30	25	20	10	20	10	10	5	0
Back	Wounds	60	60	60	15	25	15	15	30	0
Torso		30	25	20	10	20	10	10	5	0
Torso	Wounds	60	60	60	15	25	15	15	30	0
Foreleg		35	40	30	20	35	20	20	30	0
Foreleg	Wounds	60	60	60	15	25	15	15	30	0
Foreleg	Weak Point	100	100	100	15	25	15	15	30	0
Hind Leg		30	35	30	20	35	20	20	5	0
Hind Leg	Wounds	60	60	60	15	25	15	15	30	0
Tail		30	25	20	20	35	20	20	30	0
Tail	Wounds	60	60	60	15	25	15	15	30	0
Tail	Weak Point	100	100	100	15	25	15	15	30	0
Tail Tip		45	30	40	15	25	15	15	30	0
Tail Tip	Wounds	60	60	60	15	25	15	15	30	0
